Index,Top_1,Top_2,Top_3,Health_Risk_Score,Recommendation
84,-0.52 < GENHLTH <= 0.39,EDUCA <= -0.82,INCOME2 <= -0.79,62.64,"You’re doing your best in your circumstances. Your health matters, no matter your budget. Explore free or affordable community health options—they’re made for support like this. Curiosity is a strength. A little learning—through videos, articles, or local health talks—can open big doors for wellbeing. Your wellbeing matters deeply. Make space for rest, hydration, and little routines that bring you peace."
85,-0.79 < INCOME2 <= 0.22,-1.20 < SEX <= 0.83,,29.85,"You’re doing your best in your circumstances. Your health matters, no matter your budget. Explore free or affordable community health options—they’re made for support like this."
86,-0.52 < GENHLTH <= 0.39,EMPLOY1 <= -0.38,-0.79 < INCOME2 <= 0.22,55.14,"You’re doing your best in your circumstances. Your health matters, no matter your budget. Explore free or affordable community health options—they’re made for support like this. Your wellbeing matters deeply. Make space for rest, hydration, and little routines that bring you peace. Work stress can be heavy. If you feel stretched, take even a few minutes each day just for you—your energy deserves recharging."
87,-0.52 < GENHLTH <= 0.39,EMPLOY1 <= -0.38,-0.31 < _SMOKER3 <= 0.71,56.65,"There’s no shame in where you are. If you’re considering cutting back on smoking, know that every small step is a win. Your wellbeing matters deeply. Make space for rest, hydration, and little routines that bring you peace. Work stress can be heavy. If you feel stretched, take even a few minutes each day just for you—your energy deserves recharging."
88,EMPLOY1 <= -0.38,-0.79 < INCOME2 <= 0.22,AGE > 0.04,43.2,"You’re doing your best in your circumstances. Your health matters, no matter your budget. Explore free or affordable community health options—they’re made for support like this. Work stress can be heavy. If you feel stretched, take even a few minutes each day just for you—your energy deserves recharging."
89,EMPLOY1 <= -0.38,-0.79 < INCOME2 <= 0.22,MARITAL > 0.51,24.6,"You’re doing your best in your circumstances. Your health matters, no matter your budget. Explore free or affordable community health options—they’re made for support like this. Work stress can be heavy. If you feel stretched, take even a few minutes each day just for you—your energy deserves recharging. You're doing beautifully. Keep honoring your body and mind with the care they deserve."
90,,,,14.68,You're doing beautifully. Keep honoring your body and mind with the care they deserve.
91,-0.52 < GENHLTH <= 0.39,EDUCA <= -0.82,EMPLOY1 <= -0.38,59.06,"Curiosity is a strength. A little learning—through videos, articles, or local health talks—can open big doors for wellbeing. Your wellbeing matters deeply. Make space for rest, hydration, and little routines that bring you peace. Work stress can be heavy. If you feel stretched, take even a few minutes each day just for you—your energy deserves recharging."
92,EDUCA <= -0.82,EMPLOY1 <= -0.38,-0.79 < INCOME2 <= 0.22,30.85,"You’re doing your best in your circumstances. Your health matters, no matter your budget. Explore free or affordable community health options—they’re made for support like this. Curiosity is a strength. A little learning—through videos, articles, or local health talks—can open big doors for wellbeing. Work stress can be heavy. If you feel stretched, take even a few minutes each day just for you—your energy deserves recharging."
93,GENHLTH > 0.39,-0.79 < INCOME2 <= 0.22,-0.31 < _SMOKER3 <= 0.71,79.44,"You’re doing your best in your circumstances. Your health matters, no matter your budget. Explore free or affordable community health options—they’re made for support like this. There’s no shame in where you are. If you’re considering cutting back on smoking, know that every small step is a win. Your wellbeing matters deeply. Make space for rest, hydration, and little routines that bring you peace."
94,-0.52 < GENHLTH <= 0.39,INCOME2 <= -0.79,EMPLOY1 <= -0.38,62.1,"You’re doing your best in your circumstances. Your health matters, no matter your budget. Explore free or affordable community health options—they’re made for support like this. Your wellbeing matters deeply. Make space for rest, hydration, and little routines that bring you peace. Work stress can be heavy. If you feel stretched, take even a few minutes each day just for you—your energy deserves recharging."
95,EMPLOY1 <= -0.38,-0.31 < _SMOKER3 <= 0.71,,24.88,"There’s no shame in where you are. If you’re considering cutting back on smoking, know that every small step is a win. Work stress can be heavy. If you feel stretched, take even a few minutes each day just for you—your energy deserves recharging. You're doing beautifully. Keep honoring your body and mind with the care they deserve."
96,EMPLOY1 <= -0.38,-0.79 < INCOME2 <= 0.22,-0.31 < _SMOKER3 <= 0.71,35.84,"You’re doing your best in your circumstances. Your health matters, no matter your budget. Explore free or affordable community health options—they’re made for support like this. There’s no shame in where you are. If you’re considering cutting back on smoking, know that every small step is a win. Work stress can be heavy. If you feel stretched, take even a few minutes each day just for you—your energy deserves recharging."
97,EMPLOY1 <= -0.38,-0.79 < INCOME2 <= 0.22,,38.88,"You’re doing your best in your circumstances. Your health matters, no matter your budget. Explore free or affordable community health options—they’re made for support like this. Work stress can be heavy. If you feel stretched, take even a few minutes each day just for you—your energy deserves recharging."
98,GENHLTH > 0.39,EDUCA <= -0.82,EMPLOY1 <= -0.38,66.63,"Curiosity is a strength. A little learning—through videos, articles, or local health talks—can open big doors for wellbeing. Your wellbeing matters deeply. Make space for rest, hydration, and little routines that bring you peace. Work stress can be heavy. If you feel stretched, take even a few minutes each day just for you—your energy deserves recharging."
99,EMPLOY1 <= -0.38,-0.79 < INCOME2 <= 0.22,-0.31 < _SMOKER3 <= 0.71,42.4,"You’re doing your best in your circumstances. Your health matters, no matter your budget. Explore free or affordable community health options—they’re made for support like this. There’s no shame in where you are. If you’re considering cutting back on smoking, know that every small step is a win. Work stress can be heavy. If you feel stretched, take even a few minutes each day just for you—your energy deserves recharging."
